,area_type,availability,location,size,total_sqft,bath,balcony,price
2046,Plot  Area,Ready To Move,HBR Layout,4 Bedroom,1200.0,4.0,0.0,120.0
2047,Super built-up  Area,Ready To Move,Brookefield,3 BHK,1476.0,3.0,2.0,105.0
2048,Built-up  Area,Ready To Move,Attiguppe,2 Bedroom,500.0,2.0,1.0,70.0
2049,Super built-up  Area,18-Aug,Magadi Road,3 BHK,1322.0,2.0,2.0,58.82
2050,Plot  Area,Ready To Move,Srirampuram,2 Bedroom,432.0,2.0,1.0,40.0
2051,Built-up  Area,Ready To Move,Yemlur,2 BHK,1100.0,2.0,2.0,55.0
2052,Super built-up  Area,Ready To Move,Race Course Road,4 BHK,4750.0,5.0,0.0,600.0
2053,Built-up  Area,Ready To Move,Sarjapur,3 BHK,1285.0,2.0,2.0,68.0
2054,Built-up  Area,Ready To Move,Ambalipura,2 BHK,1150.0,2.0,2.0,80.0
2055,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1430.0,2.0,2.0,56.0
2056,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1350.0,2.0,2.0,62.0
2057,Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,1350.0,3.0,3.0,195.0
2058,Built-up  Area,Ready To Move,Thubarahalli,2 BHK,1185.0,2.0,2.0,65.0
2059,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1760.0,3.0,2.0,67.0
2060,Plot  Area,Ready To Move,Bank Of Baroda Colony,4 Bedroom,2400.0,5.0,2.0,350.0
2061,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900.0,2.0,1.0,41.0
2062,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1297.0,2.0,1.0,105.0
2063,Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1840.0,3.0,2.0,155.0
2064,Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,950.0,2.0,1.0,50.79
2065,Plot  Area,Ready To Move,Chikkabanavar,5 Bedroom,1200.0,4.0,1.0,70.0
2066,Carpet  Area,Ready To Move,BTM 2nd Stage,2 BHK,950.0,2.0,1.0,52.0
2067,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1277.5,2.0,0.0,95.815
2068,Super built-up  Area,18-Jan,Electronic City,3 BHK,1571.0,3.0,2.0,89.0
2069,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031.0,2.0,1.0,55.0
2070,Super built-up  Area,19-Dec,Whitefield,2 BHK,1485.0,2.0,1.0,90.0
2071,Super built-up  Area,18-Dec,Ananth Nagar,2 BHK,1109.0,2.0,1.0,60.0
2072,Super built-up  Area,Ready To Move,Koramangala,3 BHK,2200.0,3.0,2.0,180.0
2073,Super built-up  Area,18-Apr,Whitefield,1 BHK,950.0,1.0,1.0,50.0
2074,Plot  Area,Ready To Move,Laggere,3 Bedroom,1200.0,2.0,0.0,150.0
2075,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,2350.0,3.0,3.0,300.0
2076,Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,1003.0,2.0,1.0,40.6
2077,Plot  Area,Ready To Move,Bank Of Baroda Colony,2 Bedroom,1350.0,2.0,1.0,185.0
2078,Super built-up  Area,18-Jun,9th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,37.0
2079,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1255.0,2.0,2.0,73.0
2080,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1250.0,2.0,0.0,60.0
2081,Plot  Area,Ready To Move,Brookefield,4 Bedroom,1700.0,4.0,1.0,152.0
2082,Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,1200.0,2.0,0.0,66.0
2083,Built-up  Area,Ready To Move,St. John's Road,2 BHK,824.0,2.0,0.0,60.0
2084,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,1875.0,3.0,1.0,167.0
2085,Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,1320.0,2.0,1.0,38.12
2086,Plot  Area,Ready To Move,Kothanur,5 Bedroom,9600.0,5.0,2.0,550.0
2087,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1330.0,2.0,1.0,47.0
2088,Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,1220.0,3.0,2.0,56.0
2089,Super built-up  Area,18-Dec,Electronic City,3 BHK,1111.0,3.0,1.0,50.0
2090,Super built-up  Area,Ready To Move,Kothannur,2 BHK,1197.0,2.0,1.0,47.88
2091,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2519.0,5.0,2.0,185.0
2092,Super built-up  Area,18-Aug,Doopanahalli,3 BHK,1340.0,2.0,1.0,100.0
2093,Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,1450.0,3.0,3.0,132.0
2094,Super built-up  Area,22-Jun,Hoodi,3 BHK,1837.0,3.0,3.0,145.0
2095,Plot  Area,Ready To Move,Haralur Road,4 Bedroom,1200.0,4.0,0.0,245.0
2096,Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,1238.0,2.0,3.0,55.0
2097,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1405.0,2.0,2.0,59.01
2098,Super built-up  Area,Ready To Move,Doddaballapur,4 BHK,1690.0,3.0,2.0,80.0
2099,Built-up  Area,Ready To Move,Sathanur,3 BHK,1620.0,2.0,1.0,110.0
2100,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1673.0,3.0,2.0,115.0
2101,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,1090.0,2.0,0.0,58.0
2102,Super built-up  Area,Ready To Move,Varthur,2 BHK,1112.0,2.0,2.0,40.0
2103,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1385.0,2.0,2.0,66.65
2104,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,545.0,1.0,1.0,27.0
2105,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,985.0,2.0,1.0,58.0
2106,Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,825.0,1.0,0.0,36.29
2107,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1080.0,2.0,1.0,37.8
2108,Super built-up  Area,19-Mar,Hosa Road,2 BHK,1430.0,2.0,1.0,97.52
2109,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1050.0,2.0,2.0,43.0
2110,Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,2000.0,4.0,1.0,139.0
2111,Built-up  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,4800.0,4.0,3.0,190.0
2112,Built-up  Area,Ready To Move,ITI Layout,3 BHK,1533.0,3.0,2.0,115.0
2113,Plot  Area,Ready To Move,Ramamohanapuram,4 Bedroom,2800.0,3.0,2.0,500.0
2114,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2610.0,3.0,0.0,399.0
2115,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1750.0,3.0,2.0,150.0
2116,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,1352.0,2.0,2.0,87.5
2117,Super built-up  Area,Ready To Move,Harlur,3 BHK,1754.0,3.0,2.0,125.0
2118,Built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1560.0,3.0,2.0,85.0
2119,Super built-up  Area,18-Jul,Bannerghatta,4 BHK,3012.0,6.0,2.0,268.0
2120,Super built-up  Area,Ready To Move,Whitefield,4 BHK,3584.0,4.0,0.0,199.0
2121,Super built-up  Area,Ready To Move,Channasandra,3 BHK,1470.0,2.0,1.0,90.0
2122,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,45.0
2123,Plot  Area,Ready To Move,Whitefield,4 Bedroom,2400.0,5.0,0.0,329.0
2124,Built-up  Area,Ready To Move,Kammanahalli,2 BHK,1160.0,2.0,1.0,52.0
2125,Super built-up  Area,Ready To Move,Jakkur,2 BHK,1100.0,2.0,2.0,52.0
2126,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1170.0,2.0,0.0,38.0
2127,Super built-up  Area,19-Dec,Bannerghatta Road,1 BHK,595.0,1.0,1.0,31.83
2128,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1650.0,3.0,2.0,110.0
2129,Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1875.0,2.0,3.0,235.0
2130,Super built-up  Area,Ready To Move,Kamakshipalya,4 BHK,800.0,4.0,1.0,80.0
2131,Super built-up  Area,Ready To Move,kanakapura road,3 BHK,1375.0,2.0,3.0,48.06
2132,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1235.0,2.0,1.0,46.8
2133,Super built-up  Area,Ready To Move,Kaveri Nagar,1 BHK,750.0,1.0,2.0,25.0
2134,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,3.0,1.0,115.0
2135,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1270.0,2.0,2.0,50.79
2136,Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,1105.0,2.0,1.0,51.0
2137,Super built-up  Area,Ready To Move,Sundar Ram Shetty Nagar,3 BHK,1375.0,2.0,3.0,85.0
2138,Plot  Area,Ready To Move,Attibele,4 Bedroom,2168.0,4.0,2.0,95.0
2139,Built-up  Area,Ready To Move,Gottigere,8 Bedroom,1200.0,8.0,3.0,90.0
2140,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1065.0,2.0,1.0,40.84
2141,Plot  Area,Ready To Move,Sector 6 HSR Layout,3 Bedroom,3800.0,3.0,0.0,580.0
2142,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,3125.0,9.0,0.0,350.0
2143,Super built-up  Area,Ready To Move,Whitefield,1 BHK,825.0,1.0,1.0,45.0
2144,Built-up  Area,Ready To Move,Nelamangala,2 BHK,1095.0,2.0,0.0,40.0
2145,Plot  Area,Ready To Move,Ganga Nagar,3 Bedroom,720.0,3.0,3.0,65.0
2146,Super built-up  Area,18-Jul,Udayapur Village,3 BHK,1440.0,2.0,2.0,60.33
2147,Super built-up  Area,Ready To Move,Electronic City,2 BHK,870.0,2.0,1.0,39.5
2148,Super built-up  Area,Ready To Move,Panathur,2 BHK,1195.0,2.0,1.0,84.0
2149,Super built-up  Area,Ready To Move,"Kirloskar layout, Basaveshwarnagar",2 BHK,1200.0,2.0,1.0,49.5
2150,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,3.0,61.2
2151,Super built-up  Area,17-Oct,Padmanabhanagar,3 BHK,1708.0,2.0,1.0,90.5
2152,Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,975.0,2.0,1.0,43.0
2153,Built-up  Area,Ready To Move,KR Puram,2 BHK,750.0,2.0,1.0,25.0
2154,Plot  Area,Ready To Move,Gowdanapalya,8 Bedroom,1200.0,8.0,2.0,190.0
2155,Super built-up  Area,18-Dec,Iblur Village,3 BHK,1920.0,3.0,2.0,130.0
2156,Plot  Area,Ready To Move,Nagarbhavi,6 Bedroom,1200.0,5.0,2.0,240.0
2157,Super built-up  Area,21-Dec,Thanisandra,2 BHK,1183.0,2.0,1.0,58.56
2158,Plot  Area,Ready To Move,Kothanur,4 Bedroom,1140.0,4.0,1.0,90.0
2159,Super built-up  Area,Ready To Move,Mico Layout,3 BHK,1550.0,2.0,2.0,65.0
2160,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1110.0,2.0,3.0,53.0
2161,Plot  Area,Ready To Move,NS Palya,8 Bedroom,1500.0,10.0,3.0,165.0
2162,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1105.0,2.0,1.0,38.67
2163,Plot  Area,Ready To Move,Anekal,3 Bedroom,1800.0,3.0,2.0,68.0
2164,Super built-up  Area,Ready To Move,2nd Phase JP Nagar,5 BHK,2800.0,4.0,2.0,200.0
2165,Super built-up  Area,18-Jul,Bommanahalli,2 BHK,1000.0,2.0,2.0,29.9
2166,Built-up  Area,Ready To Move,Prithvi Layout,2 BHK,1190.0,2.0,2.0,68.0
2167,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,1.0,200.0
2168,Super built-up  Area,19-Oct,Hebbal,4 BHK,3067.0,4.0,2.0,230.0
2169,Super built-up  Area,18-May,Sarjapur  Road,3 BHK,1929.0,4.0,1.0,103.0
2170,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1525.0,3.0,1.0,100.0
2171,Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1775.0,3.0,3.0,110.0
2172,Built-up  Area,Ready To Move,Banashankari,2 BHK,1125.0,2.0,1.0,63.0
2173,Super built-up  Area,Ready To Move,Hessarghatta,2 BHK,900.0,2.0,2.0,42.0
2174,Super built-up  Area,18-Mar,Sarjapur  Road,2 BHK,1155.0,2.0,1.0,58.0
2175,Built-up  Area,Ready To Move,Hulimavu,4 Bedroom,1200.0,4.0,0.0,75.0
2176,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1268.0,2.0,1.0,73.0
2177,Built-up  Area,Ready To Move,Hoodi Layout,3 BHK,1500.0,3.0,2.0,88.0
2178,Super built-up  Area,18-Jan,Electronic City,1 BHK,630.0,1.0,1.0,47.0
2179,Super built-up  Area,Ready To Move,Seegehalli,3 BHK,1525.0,3.0,2.0,65.0
2180,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1060.0,2.0,2.0,48.0
2181,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1687.0,3.0,3.0,127.0
2182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1847.0,3.0,2.0,123.0
2183,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1410.0,2.0,3.0,53.0
2184,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1075.0,2.0,1.0,42.99
2185,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3526.0,4.0,0.0,492.0
2186,Built-up  Area,Ready To Move,BTM Layout,3 Bedroom,3000.0,3.0,0.0,338.0
2187,Built-up  Area,18-Apr,Basavangudi,3 BHK,1500.0,2.0,1.0,143.0
2188,Built-up  Area,Ready To Move,Gaundanapalya,2 BHK,1010.0,2.0,2.0,46.0
2189,Super built-up  Area,18-Jul,Haralur Road,3 BHK,1875.0,3.0,3.0,110.0
2190,Plot  Area,Ready To Move,Arasanakunte,5 Bedroom,1200.0,6.0,0.0,137.0
2191,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,983.0,2.0,1.0,50.6
2192,Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1101.0,2.0,2.0,65.0
2193,Super built-up  Area,Ready To Move,Laxmi Sagar Layout,2 BHK,1140.0,2.0,1.0,76.0
2194,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1215.0,2.0,2.0,110.0
2195,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1007.0,2.0,3.0,42.0
2196,Super built-up  Area,Ready To Move,Bellandur,3 BHK,2039.0,3.0,2.0,168.0
2197,Built-up  Area,Ready To Move,Ulsoor,3 BHK,1020.0,3.0,2.0,110.0
2198,Super built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,1198.0,2.0,1.0,84.0
2199,Built-up  Area,Ready To Move,5th block Koramangala,4 BHK,4000.0,4.0,1.0,520.0
2200,Plot  Area,Ready To Move,Nelamangala,4 Bedroom,1470.0,4.0,2.0,34.5
2201,Built-up  Area,Ready To Move,JakkurYelahanka,2 BHK,1370.0,2.0,2.0,75.0
2202,Super built-up  Area,Ready To Move,Yemlur,2 BHK,1316.0,2.0,3.0,55.5
2203,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1350.0,3.0,1.0,55.5
2204,Super built-up  Area,18-May,Gunjur Palya,2 BHK,1050.0,2.0,1.0,43.0
2205,Carpet  Area,Ready To Move,KR Puram,3 BHK,1128.76,3.0,0.0,47.405
2206,Super built-up  Area,Ready To Move,Electronic City,2 BHK,921.0,2.0,1.0,34.0
2207,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,1010.0,2.0,1.0,49.27
2208,Super built-up  Area,18-Jun,KR Puram,2 BHK,1015.0,2.0,1.0,43.0
2209,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200.0,2.0,0.0,66.5
2210,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1179.0,2.0,1.0,75.0
2211,Built-up  Area,Ready To Move,Anjanapura,4 BHK,1850.0,4.0,2.0,86.0
2212,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,870.0,2.0,1.0,24.0
2213,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1605.0,3.0,2.0,85.0
2214,Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,2800.0,4.0,2.0,89.0
2215,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2475.0,4.0,3.0,320.0
2216,Plot  Area,Ready To Move,Ngef Layout,2 Bedroom,3000.0,2.0,0.0,510.0
2217,Plot  Area,Ready To Move,Bileshivale,6 Bedroom,2400.0,7.0,2.0,110.0
2218,Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,1000.0,1.0,1.0,55.0
2219,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,1200.0,2.0,0.0,80.0
2220,Plot  Area,Ready To Move,Manjunatha Layout,2 Bedroom,1200.0,2.0,2.0,125.0
2221,Plot  Area,18-May,Kammasandra,2 Bedroom,1200.0,2.0,1.0,66.0
2222,Built-up  Area,Ready To Move,Kashi Nagar,2 BHK,1200.0,2.0,2.0,50.0
2223,Super built-up  Area,Ready To Move,Hennur,2 BHK,1255.0,2.0,1.0,57.5
2224,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1085.0,2.0,2.0,30.38
2225,Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1592.0,3.0,0.0,125.0
2226,Super built-up  Area,18-Nov,B Narayanapura,2 BHK,1313.0,2.0,1.0,58.27
2227,Super built-up  Area,21-May,Kogilu,3 BHK,1934.0,3.0,2.0,150.0
2228,Super built-up  Area,Ready To Move,Harlur,2 BHK,1200.0,2.0,1.0,49.5
2229,Super built-up  Area,Ready To Move,Uttarahalli,6 BHK,3600.0,6.0,2.0,120.0
2230,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,935.0,2.0,1.0,45.0
2231,Built-up  Area,Ready To Move,Bommasandra,2 BHK,877.0,2.0,2.0,30.0
2232,Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,936.0,2.0,2.0,42.0
2233,Super built-up  Area,Ready To Move,Nagasandra,3 BHK,1470.0,2.0,2.0,110.0
2234,Built-up  Area,Ready To Move,Upkar Layout,1 Bedroom,1050.0,1.0,1.0,70.0
2235,Super built-up  Area,19-Mar,Hennur Road,2 BHK,1232.0,2.0,0.0,69.61
2236,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,2225.0,4.0,2.0,169.0
2237,Plot  Area,Ready To Move,Sunkadakatte,3 Bedroom,1200.0,2.0,0.0,80.0
2238,Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,1901.0,3.0,2.0,119.0
2239,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1819.0,3.0,2.0,100.0
2240,Plot  Area,Immediate Possession,Banashankari,,2400.0,2.0,0.0,460.0
2241,Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3715.0,6.0,0.0,200.5
2242,Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,5000.0,4.0,3.0,290.0
2243,Super built-up  Area,Ready To Move,Someshwara Layout,4 BHK,1200.0,4.0,3.0,169.0
2244,Super built-up  Area,Ready To Move,Kacharakanahalli,2 BHK,1256.0,2.0,1.0,60.0
2245,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2.0,2.0,44.0
2246,Plot  Area,Ready To Move,TC Palaya,4 Bedroom,4800.0,3.0,3.0,302.0
2247,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1435.0,3.0,3.0,70.0
2248,Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,3245.0,4.0,0.0,250.0
2249,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1845.0,4.0,1.0,110.0
2250,Plot  Area,Ready To Move,Jigani,3 Bedroom,2400.0,4.0,1.0,130.0
2251,Super built-up  Area,18-Feb,Ulsoor,2 BHK,1200.0,2.0,0.0,60.0
2252,Super built-up  Area,18-Aug,Talaghattapura,3 BHK,2254.0,3.0,2.0,170.0
2253,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1750.0,3.0,2.0,150.0
2254,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,1020.0,2.0,1.0,37.0
2255,Built-up  Area,Ready To Move,Bommanahalli,1 BHK,515.0,1.0,1.0,25.0
2256,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1893.0,3.0,2.0,140.0
2257,Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,3025.0,3.0,0.0,500.0
2258,Built-up  Area,Ready To Move,Suddaguntepalya,2 BHK,830.0,2.0,0.0,34.0
2259,Built-up  Area,Ready To Move,Singasandra,2 Bedroom,600.0,2.0,1.0,36.5
2260,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,90.0
2261,Plot  Area,Ready To Move,Kathreguppe,4 Bedroom,3200.0,4.0,2.0,1200.0
2262,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1200.0,2.0,1.0,78.0
2263,Super built-up  Area,19-Oct,Sarjapur  Road,2 BHK,1233.0,2.0,2.0,77.65
2264,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1255.0,2.0,2.0,65.26
2265,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,37.8
2266,Super built-up  Area,Ready To Move,Varthur,3 BHK,2145.0,3.0,2.0,175.0
2267,Built-up  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,1500.0,5.0,0.0,85.0
2268,Built-up  Area,Ready To Move,Kothannur,2 BHK,740.0,2.0,1.0,34.0
2269,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1250.0,3.0,3.0,48.0
2270,Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,1210.0,2.0,2.0,40.0
2271,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1525.0,2.0,2.0,60.0
2272,Built-up  Area,Ready To Move,Kogilu,1 Bedroom,540.0,1.0,0.0,36.0
2273,Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1240.0,2.0,1.0,84.0
2274,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1245.0,2.0,1.0,68.0
2275,Plot  Area,Ready To Move,HAL 3rd Stage,3 Bedroom,1865.0,3.0,3.0,350.0
2276,Super built-up  Area,18-Mar,Hosa Road,2 BHK,1104.0,2.0,0.0,36.43
2277,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.99
2278,Built-up  Area,18-May,Nagavara,2 BHK,2200.0,2.0,1.0,55.0
2279,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155.0,2.0,1.0,60.0
2280,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,1520.0,2.0,3.0,62.0
2281,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122.0,6.0,2.0,245.0
2282,Super built-up  Area,Ready To Move,Harlur,2 BHK,1290.0,2.0,1.0,85.0
2283,Built-up  Area,Ready To Move,1st Block HRBR Layout,3 BHK,2300.0,3.0,0.0,80.0
2284,Built-up  Area,Ready To Move,Kannamangala,4 Bedroom,3000.0,4.0,0.0,200.0
2285,Built-up  Area,Ready To Move,Austin Town,1 BHK,400.0,1.0,0.0,14.0
2286,Super built-up  Area,Ready To Move,Banashankari,3 BHK,1340.0,2.0,3.0,53.6
2287,Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,900.0,2.0,1.0,95.0
2288,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,1800.0,4.0,0.0,324.0
2289,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,987.0,2.0,1.0,49.0
2290,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,1720.0,3.0,2.0,100.0
2291,Super built-up  Area,Ready To Move,Hebbal,2 BHK,1040.0,2.0,1.0,50.0
2292,Built-up  Area,Ready To Move,Anandapura,2 Bedroom,900.0,2.0,0.0,64.0
2293,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1030.0,2.0,1.0,50.0
2294,Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,2556.0,3.0,2.0,133.0
2295,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,1850.0,3.0,1.0,168.0
2296,Plot  Area,Ready To Move,Kaval Byrasandra,4 Bedroom,750.0,4.0,3.0,110.0
2297,Super built-up  Area,18-Apr,Balagere,2 BHK,1028.0,2.0,1.0,31.86
2298,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,1.0,83.0
2299,Built-up  Area,18-Mar,Sahakara Nagar,3 BHK,1655.0,3.0,1.0,115.0
2300,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,940.0,2.0,1.0,40.0
2301,Super built-up  Area,Ready To Move,Domlur,2 BHK,1050.0,2.0,2.0,85.0
2302,Plot  Area,Ready To Move,Rajagopala Nagar,4 Bedroom,600.0,4.0,1.0,40.0
2303,Super built-up  Area,18-Apr,Vishwapriya Nagar,2 BHK,946.0,2.0,1.0,38.0
2304,Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1726.0,3.0,3.0,145.0
2305,Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,2121.0,4.0,3.0,253.0
2306,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404.0,2.0,1.0,75.0
2307,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,1525.0,2.0,2.0,48.0
2308,Super built-up  Area,Ready To Move,Kengeri,2 BHK,1025.0,2.0,2.0,57.0
2309,Plot  Area,Ready To Move,Bahubali Nagar,5 Bedroom,1575.0,4.0,0.0,150.0
2310,Built-up  Area,Ready To Move,RMV 2nd Stage,2 BHK,860.0,1.0,1.0,43.0
2311,Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,1223.0,2.0,1.0,42.81
2312,Super built-up  Area,Ready To Move,Lottegolla Halli,4 BHK,3750.0,3.0,0.0,550.0
2313,Super built-up  Area,Ready To Move,Kothannur,2 BHK,1197.0,2.0,1.0,47.8
2314,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,1150.0,2.0,1.0,52.75
2315,Built-up  Area,Ready To Move,Kodbisanhalli,4 Bedroom,4800.0,5.0,3.0,629.0
2316,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,1040.0,2.0,2.0,46.0
2317,Super built-up  Area,18-May,Banashankari,2 BHK,1310.0,2.0,2.0,80.0
2318,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1788.0,3.0,2.0,98.34
2319,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1144.0,2.0,2.0,38.55
2320,Super built-up  Area,18-Jul,Anjanapura,2 BHK,1070.0,2.0,2.0,39.0
2321,Super built-up  Area,Ready To Move,Nandini Layout,2 BHK,1200.0,2.0,2.0,70.0
2322,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1862.0,3.0,2.0,120.0
2323,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,1200.0,2.0,1.0,58.5
2324,Super built-up  Area,Ready To Move,Begur Road,2 BHK,970.0,2.0,2.0,27.0
